"","X","LUCAS_LC","S2.1","S2.2","S2.3","S2.4","S2.5","S2.6","S2.7","S2.8","S2.9","S2.10","SRTM","TimeScan.NDBImax","TimeScan.NDBImin","TimeScan.NDBIavg","TimeScan.NDBIsd","TimeScan.NDBIslope","TimeScan.mNDWImax","TimeScan.mNDWImin","TimeScan.mNDWIavg","TimeScan.mNDWIsd","TimeScan.mNDWIslope","TimeScan.NDVImax","TimeScan.NDVImin","TimeScan.NDVIavg","TimeScan.NDVIsd","TimeScan.NDVIslope","GUF","L8.evi","L8.msavi","L8.ndmi","L8.ndvi","L8.savi","L7.evi","L7.msavi","L7.ndmi","L7.ndvi","L7.savi","MOD.evi","MOD.ndvi","x","y","LCname"
"1",1,1,0.0474685207009315,0.0560033731162548,0.0601654276251793,0.0759707093238831,0.0906696170568466,0.0943575128912926,0.0815025568008423,0.0999947339296341,0.108055420219898,0.0925135686993599,308.899353027344,-0.59651118516922,-0.733116149902344,-0.669847130775452,0.039080087095499,0.0453364960849285,0.68961101770401,0.582056045532227,0.629704177379608,0.0342737175524235,0.0379007868468761,0.326007157564163,0.0999646857380867,0.199508309364319,0.0680628046393394,0.0669216513633728,NA,0.242233335971832,0.221575006842613,-0.0365083329379559,0.449874997138977,0.251166671514511,0.275774985551834,0.228341668844223,0.0281166657805443,0.457616657018661,0.257566660642624,0.357656270265579,0.463630050420761,611225,5527425,"urban"
"2",2,1,0.0695432275533676,0.074811652302742,0.0649070143699646,0.0919340401887894,0.134660974144936,0.12823349237442,0.159633323550224,0.136136129498482,0.135293185710907,0.109899371862411,350.773071289062,-0.57675564289093,-0.746338248252869,-0.661758482456207,0.0543954893946648,0.0526302866637707,0.642629861831665,0.560835599899292,0.597492158412933,0.0226706825196743,0.0273075606673956,0.450540125370026,0.052971113473177,0.233787596225739,0.123385414481163,0.129388183355331,NA,0.281524986028671,0.264222234487534,0.0689888894557953,0.453816652297974,0.288727790117264,0.403197228908539,0.308008342981339,0.104916669428349,0.46183055639267,0.328236103057861,0.286085218191147,0.464994966983795,614515,5534515,"urban"
"3",3,1,0.0410410426557064,0.0513144731521606,0.0573731623589993,0.06132448092103,0.0781307592988014,0.0831357687711716,0.0872978270053864,0.0886676162481308,0.111321851611137,0.0997839942574501,277.091430664062,-0.446193873882294,-0.695425570011139,-0.543650686740875,0.066480316221714,0.0635918378829956,0.681232333183289,0.49653634428978,0.56847882270813,0.0541090406477451,0.0689046233892441,0.14204329252243,-0.10171989351511,0.0193970147520304,0.0677367895841599,0.0634333863854408,NA,0.15627221763134,0.143702775239944,-0.0606805570423603,0.321880549192429,0.169672220945358,0.176349997520447,0.146986111998558,-0.0536027774214745,0.308530569076538,0.171788886189461,0.292181968688965,0.604533791542053,612295,5535605,"urban"
"4",4,1,0.0280280280858278,0.0406195670366287,0.039355143904686,0.0612191148102283,0.101680628955364,0.111637957394123,0.131710663437843,0.12596806883812,0.119171805679798,0.091301828622818,293.123901367188,-0.597502529621124,-0.741376459598541,-0.66529381275177,0.0422861166298389,0.0403749197721481,0.657603919506073,0.53826516866684,0.581488370895386,0.0339194387197495,0.0339608266949654,0.395136803388596,0.126784801483154,0.251684367656708,0.078453540802002,0.0785581916570663,NA,0.330822229385376,0.314791679382324,0.0688305571675301,0.527497231960297,0.336222231388092,0.411027789115906,0.356980562210083,0.108911111950874,0.600547194480896,0.378058344125748,0.454834014177322,0.489185571670532,615175,5526515,"urban"
"5",5,1,0.0589536912739277,0.0811337679624557,0.107159793376923,0.120699644088745,0.145566612482071,0.157894730567932,0.165323212742805,0.164269536733627,0.158210843801498,0.13987672328949,365.398101806641,-0.568079888820648,-0.798815846443176,-0.653399527072906,0.0584413260221481,0.0646811798214912,0.702207326889038,0.536252558231354,0.614085853099823,0.0385886803269386,0.0369038879871368,0.510837912559509,-0.0547702051699162,0.131155043840408,0.139966085553169,0.132266938686371,NA,0.29835832118988,0.286058336496353,0.0963166654109955,0.395266652107239,0.30239999294281,0.168233335018158,0.150250002741814,0.0137499999254942,0.257908344268799,0.169483333826065,0.483177840709686,0.603423774242401,606995,5527905,"urban"
"6",6,1,0.0425688847899437,0.0498393140733242,0.0493124686181545,0.0704915449023247,0.086665615439415,0.0872978270053864,0.0826089233160019,0.0993625223636627,0.116326853632927,0.108318842947483,260.994689941406,-0.57841968536377,-0.75573992729187,-0.642463684082031,0.0446216501295567,0.0526927262544632,0.84908127784729,0.622385621070862,0.688795030117035,0.059472531080246,0.0630106329917908,0.177963986992836,-0.0849715769290924,0.0355349369347095,0.0753412470221519,0.0624027103185654,NA,0.247241660952568,0.223700001835823,0.00546666653826833,0.448291659355164,0.25130832195282,0.262749999761581,0.209708333015442,0.0690333321690559,0.403225004673004,0.236983329057693,0.198537230491638,0.415717154741287,612115,5536245,"urban"
"7",7,1,0.0201253890991211,0.0344555079936981,0.0271323956549168,0.0560033731162548,0.124387547373772,0.155576631426811,0.16890574991703,0.175702020525932,0.070386178791523,0.037511195987463,431.170745849609,-0.550833344459534,-0.771383702754974,-0.673495531082153,0.0614594966173172,0.0811637714505196,0.784506678581238,0.502222418785095,0.619982004165649,0.0827234387397766,0.0771050304174423,0.437945395708084,-0.0369817726314068,0.184971332550049,0.13661889731884,0.164769098162651,NA,0.328000009059906,0.320791661739349,0.165525004267693,0.471625000238419,0.339574992656708,0.359833329916,0.321949988603592,0.0597166679799557,0.483249992132187,0.341874986886978,0.310369968414307,0.381337225437164,614715,5531465,"urban"
"8",8,1,0.0465202033519745,0.0551077388226986,0.0563721619546413,0.0694905444979668,0.119962066411972,0.137031763792038,0.107423216104507,0.135240510106087,0.121015749871731,0.0905642509460449,334.475555419922,-0.531855285167694,-0.66007536649704,-0.600006282329559,0.0364464558660984,0.043139822781086,0.645024597644806,0.545742809772491,0.593934297561646,0.0299715772271156,0.0305472500622272,0.225680962204933,-0.0751696899533272,0.071355901658535,0.0895378962159157,0.100060231983662,1,0.17099167406559,0.159116670489311,-0.0548750013113022,0.309241652488708,0.183050006628036,0.421008318662643,0.240991666913033,0.0484083332121372,0.271100014448166,0.247266665101051,0.258066177368164,0.401159584522247,615265,5533575,"urban"
"9",9,1,0.0148042775690556,0.0267109218984842,0.0194931775331497,0.0456772558391094,0.147094458341599,0.195247873663902,0.205837413668633,0.215636685490608,0.0759707093238831,0.0368789844214916,424.664337158203,-0.550431489944458,-0.839231252670288,-0.687391400337219,0.0830944329500198,0.0876083821058273,0.83734405040741,0.549602627754211,0.647794544696808,0.0738110169768333,0.0714972019195557,0.605061590671539,-0.0537820570170879,0.174663051962852,0.182188555598259,0.210563436150551,NA,0.394849985837936,0.373250007629395,0.337216675281525,0.624575018882751,0.394216656684875,0.430274993181229,0.347699999809265,0.171700000762939,0.513233304023743,0.365550011396408,0.393403947353363,0.518289089202881,614895,5532475,"urban"
"10",10,1,0.0224961806088686,0.0416205674409866,0.0321374014019966,0.0768136531114578,0.170749694108963,0.210526317358017,0.205099835991859,0.218376263976097,0.104420207440853,0.0531584210693836,333.8125,-0.564629375934601,-0.830255091190338,-0.671890258789062,0.070086658000946,0.081239327788353,0.690396130084991,0.515840649604797,0.583577513694763,0.0495448373258114,0.061353787779808,0.613391935825348,0.0648666545748711,0.249095648527145,0.143036663532257,0.124458268284798,NA,0.417458325624466,0.403583347797394,0.266874998807907,0.588158309459686,0.416616678237915,0.441658347845078,0.39172500371933,0.0807416662573814,0.579850018024445,0.407241672277451,0.335501730442047,0.320199221372604,615255,5527265,"urban"
